Account,total_pnl,avg_daily_pnl,overall_winrate,avg_trades_day,total_trades,active_days,avg_size_usd,avg_buy_sell,total_fees_paid,max_drawdown,size_segment,frequency_segment,winner_segment,cluster,archetype
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,800114.9099895,0.2157581691252728,1909.0,3818,2,15578.066878995556,0.6557532382781134,7405.312303999999,0.0,Large,Moderate,Inconsistent,1,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,37706.173148,18853.086574,0.4831455208038494,1926.5,3853,2,2093.050795185572,0.7953330958292917,1867.0818207,0.0,Small,Moderate,Inconsistent,1,
0x271b280974205ca63b716753467d5a371de622ab,31763.088431,10587.696143666666,0.4101525821596244,382.0,1146,3,16282.920322769956,0.9899470896225908,3689.057039,0.0,Large,Infrequent,Inconsistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132315.481685,66157.7408425,0.4382462457785591,6633.0,13266,2,508.4139635573343,1.021258284722152,2216.8242514509,0.0,Small,Frequent,Inconsistent,1,
0x2c229d22b100a7beb69122eed721cee9b24011dd,168627.984054,84313.992027,0.5041174876271167,1617.0,3234,2,3073.4131596983725,0.6056398513253953,3107.248,0.0,Small,Moderate,Inconsistent,1,
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-27704.567439,-4617.4279065,0.1941487277447162,102.83333333333331,617,6,5212.250799060605,833333333.6467596,121.82569038,-59349.677108,Large,Infrequent,Inconsistent,1,
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919336000004,7228.459668000001,0.4235405579745203,1794.5,3589,2,4677.615483087406,0.7751299442147532,1458.65712607,-20526.462526,Mid,Moderate,Inconsistent,1,
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,26748.1236215,0.4869481266941443,166.0,332,2,3562.32316586833,1.058258349841934,176.27417591699998,0.0,Mid,Infrequent,Inconsistent,1,
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,99752.796366,0.2300930232558139,191.5,383,2,5522.192161395349,0.3212550066734262,267.967088979,0.0,Large,Infrequent,Inconsistent,1,
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,104135.46808525,0.5795973900106022,262.75,1051,4,3111.6620970235917,22000000000.11772,689.765475,0.0,Mid,Infrequent,Consistent Winner,1,
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,101965.643134,50982.821567,0.3518527444550567,4170.0,8340,2,518.0945601985864,0.9215820958948372,1217.5865550161002,0.0,Small,Frequent,Inconsistent,1,
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,674403.995032,337201.997516,0.4534279955910436,2067.0,4134,2,8721.255130770734,1.0782719143120352,7637.558733190001,0.0,Large,Frequent,Inconsistent,1,
0x4f93fead39b70a1824f981a54d4e55b278e9f760,301287.891529,75321.97288225,0.3396006216862706,1869.75,7479,4,14130.89672215,1.17815360436821,40077.954307,-25991.506339,Large,Moderate,Inconsistent,0,High-Volume Trader
